mol_name,smiles,bond_idx,elem1,elem2,bond_order,hybridization_1,hybridization_2,is_in_ring,ring_size,mmff_length,dft_length
methane,C,0,C,H,1.0,SP3,OTHER,0,0,1.092199966626533,1.0932999146012041
methane,C,1,C,H,1.0,SP3,OTHER,0,0,1.0921993810586965,1.0932999146012041
methane,C,2,C,H,1.0,SP3,OTHER,0,0,1.0921991361656536,1.0932999146012041
methane,C,3,C,H,1.0,SP3,OTHER,0,0,1.0921992163634802,1.0932999146012041
ethane,CC,0,C,C,1.0,SP3,SP3,0,0,1.5120584363512544,1.5308620000026127
ethane,CC,1,C,H,1.0,SP3,OTHER,0,0,1.0940841142412223,1.0961449681378828
ethane,CC,2,C,H,1.0,SP3,OTHER,0,0,1.0940830820394767,1.096131770194168
ethane,CC,3,C,H,1.0,SP3,OTHER,0,0,1.094085007915747,1.0961367070406867
ethane,CC,4,C,H,1.0,SP3,OTHER,0,0,1.0940841539872517,1.0961311695326432
ethane,CC,5,C,H,1.0,SP3,OTHER,0,0,1.0940837831030126,1.0961363432935705
ethane,CC,6,C,H,1.0,SP3,OTHER,0,0,1.0940832187918796,1.0961449681378828
propane,CCC,0,C,C,1.0,SP3,SP3,0,0,1.5193317936895812,1.5325785695441525
propane,CCC,1,C,C,1.0,SP3,SP3,0,0,1.5193322673826157,1.5325785695441525
propane,CCC,2,C,H,1.0,SP3,OTHER,0,0,1.0947188514244195,1.097154428184565
propane,CCC,3,C,H,1.0,SP3,OTHER,0,0,1.0944846673265916,1.0962011336584176
propane,CCC,4,C,H,1.0,SP3,OTHER,0,0,1.0947194797293962,1.0971541703835428
propane,CCC,5,C,H,1.0,SP3,OTHER,0,0,1.095630910332946,1.0984450613430787
propane,CCC,6,C,H,1.0,SP3,OTHER,0,0,1.0956319736882454,1.0984456623447516
propane,CCC,7,C,H,1.0,SP3,OTHER,0,0,1.0944845046628116,1.0962011336579616
propane,CCC,8,C,H,1.0,SP3,OTHER,0,0,1.0947189209354151,1.097154428184565
propane,CCC,9,C,H,1.0,SP3,OTHER,0,0,1.0947185815272342,1.0971542115696407
butane,CCCC,0,C,C,1.0,SP3,SP3,0,0,1.5209163830253787,1.5332386466656127
butane,CCCC,1,C,C,1.0,SP3,SP3,0,0,1.5289508340080789,1.5378843283901427
butane,CCCC,2,C,C,1.0,SP3,SP3,0,0,1.520916539553042,1.5332386466656127
butane,CCCC,3,C,H,1.0,SP3,OTHER,0,0,1.0939208517900187,1.0957990213702509
butane,CCCC,4,C,H,1.0,SP3,OTHER,0,0,1.094563154553907,1.097465904171059
butane,CCCC,5,C,H,1.0,SP3,OTHER,0,0,1.0947769772250417,1.0960899400988955
butane,CCCC,6,C,H,1.0,SP3,OTHER,0,0,1.096233142130359,1.099722716663614
butane,CCCC,7,C,H,1.0,SP3,OTHER,0,0,1.0965381498233429,1.0985299294393396
butane,CCCC,8,C,H,1.0,SP3,OTHER,0,0,1.0962324706853925,1.099722716663614
butane,CCCC,9,C,H,1.0,SP3,OTHER,0,0,1.096537587006027,1.0985299294393396
butane,CCCC,10,C,H,1.0,SP3,OTHER,0,0,1.0947765099347904,1.0960899400988955
butane,CCCC,11,C,H,1.0,SP3,OTHER,0,0,1.0939211207897945,1.0957990213702509
butane,CCCC,12,C,H,1.0,SP3,OTHER,0,0,1.0945622902868526,1.097465904171059
pentane,CCCCC,0,C,C,1.0,SP3,SP3,0,0,1.5203786675187203,1.532277511727233
pentane,CCCCC,1,C,C,1.0,SP3,SP3,0,0,1.528452712180851,1.5341788597803714
pentane,CCCCC,2,C,C,1.0,SP3,SP3,0,0,1.5284520232113927,1.5341788597803714
pentane,CCCCC,3,C,C,1.0,SP3,SP3,0,0,1.5203787520052363,1.532277511727233
pentane,CCCCC,4,C,H,1.0,SP3,OTHER,0,0,1.094492646324771,1.096092558557442
pentane,CCCCC,5,C,H,1.0,SP3,OTHER,0,0,1.0946851563445081,1.0970430347894289
pentane,CCCCC,6,C,H,1.0,SP3,OTHER,0,0,1.094685897262772,1.0970436246827198
pentane,CCCCC,7,C,H,1.0,SP3,OTHER,0,0,1.0962297102496357,1.0993566067418705
pentane,CCCCC,8,C,H,1.0,SP3,OTHER,0,0,1.0962286574985167,1.0993566067418705
pentane,CCCCC,9,C,H,1.0,SP3,OTHER,0,0,1.0968811006804702,1.1004418980050696
pentane,CCCCC,10,C,H,1.0,SP3,OTHER,0,0,1.0968811620216659,1.1004418980050696
pentane,CCCCC,11,C,H,1.0,SP3,OTHER,0,0,1.0962294801080659,1.0993566067418705
pentane,CCCCC,12,C,H,1.0,SP3,OTHER,0,0,1.0962296904011497,1.0993566067418705
pentane,CCCCC,13,C,H,1.0,SP3,OTHER,0,0,1.0944928026172671,1.096092558557442
pentane,CCCCC,14,C,H,1.0,SP3,OTHER,0,0,1.0946857027731751,1.0970436246827198
pentane,CCCCC,15,C,H,1.0,SP3,OTHER,0,0,1.094685275023374,1.0970430347894289
hexane,CCCCCC,0,C,C,1.0,SP3,SP3,0,0,1.52091717668879,1.5335675830096305
hexane,CCCCCC,1,C,C,1.0,SP3,SP3,0,0,1.5311340735327525,1.5384505670413984
hexane,CCCCCC,2,C,C,1.0,SP3,SP3,0,0,1.5310928468727818,1.536014898448905
hexane,CCCCCC,3,C,C,1.0,SP3,SP3,0,0,1.5311327782583066,1.5384504664561027
hexane,CCCCCC,4,C,C,1.0,SP3,SP3,0,0,1.5209157417966976,1.533567761258041
hexane,CCCCCC,5,C,H,1.0,SP3,OTHER,0,0,1.0937341182705238,1.0957377890106739
hexane,CCCCCC,6,C,H,1.0,SP3,OTHER,0,0,1.094533998933336,1.0974704167625657
hexane,CCCCCC,7,C,H,1.0,SP3,OTHER,0,0,1.0948206600873038,1.0961136761244248
hexane,CCCCCC,8,C,H,1.0,SP3,OTHER,0,0,1.0961928363540787,1.099633018781266
hexane,CCCCCC,9,C,H,1.0,SP3,OTHER,0,0,1.0966640069009286,1.098486721917475
hexane,CCCCCC,10,C,H,1.0,SP3,OTHER,0,0,1.0966893235305977,1.1008797887458015
hexane,CCCCCC,11,C,H,1.0,SP3,OTHER,0,0,1.0957994646658666,1.0979008118163498
hexane,CCCCCC,12,C,H,1.0,SP3,OTHER,0,0,1.0957991188867604,1.0979004456639045
hexane,CCCCCC,13,C,H,1.0,SP3,OTHER,0,0,1.0966893914545721,1.1008797887458015
hexane,CCCCCC,14,C,H,1.0,SP3,OTHER,0,0,1.096664051863195,1.0984875309865834
hexane,CCCCCC,15,C,H,1.0,SP3,OTHER,0,0,1.096194124897593,1.0996321647228222
hexane,CCCCCC,16,C,H,1.0,SP3,OTHER,0,0,1.0945344303465288,1.0974704167625657
hexane,CCCCCC,17,C,H,1.0,SP3,OTHER,0,0,1.0948212007017402,1.0961136761244248
hexane,CCCCCC,18,C,H,1.0,SP3,OTHER,0,0,1.0937340389057113,1.0957374051304445
neopentane,CC(C)(C)C,0,C,C,1.0,SP3,SP3,0,0,1.5353373686392187,1.5402171428006508
neopentane,CC(C)(C)C,1,C,C,1.0,SP3,SP3,0,0,1.5353370434126183,1.5401893357418757
neopentane,CC(C)(C)C,2,C,C,1.0,SP3,SP3,0,0,1.535336531156606,1.5402680527275114
neopentane,CC(C)(C)C,3,C,C,1.0,SP3,SP3,0,0,1.5353376020735634,1.5402887903471219
neopentane,CC(C)(C)C,4,C,H,1.0,SP3,OTHER,0,0,1.0958099052851273,1.0971462956825766
neopentane,CC(C)(C)C,5,C,H,1.0,SP3,OTHER,0,0,1.0958106584688798,1.0971673648978992
neopentane,CC(C)(C)C,6,C,H,1.0,SP3,OTHER,0,0,1.0958101632897006,1.0971621781418643
neopentane,CC(C)(C)C,7,C,H,1.0,SP3,OTHER,0,0,1.0958094984996252,1.0971065875447108
