bond_type,n,mean_delta_A,std_A,min_A,max_A
C-C(ar),48,0.00252,0.01102,-0.0193,0.02511
C-C(d),3,-0.00529,0.0005,-0.00582,-0.00482
C-C(s),77,0.00973,0.00649,-0.00556,0.02876
C-C(t),2,0.00556,0.00127,0.00467,0.00646
C-Cl(s),1,0.03654,,0.03654,0.03654
C-H(s),323,0.00214,0.00285,-0.00361,0.01318
C-N(ar),4,-0.00339,0.00955,-0.01166,0.00488
C-N(s),12,-0.00082,0.00674,-0.0077,0.01355
C-N(t),1,2e-05,,2e-05,2e-05
C-O(ar),2,0.00586,0.0,0.00586,0.00586
C-O(d),11,-0.01197,0.00407,-0.01809,-0.00376
C-O(s),26,-0.00036,0.00804,-0.01123,0.01269
C-S(ar),2,0.02452,0.0,0.02452,0.02452
H-N(s),10,-0.00153,0.00123,-0.00394,0.00088
H-O(s),10,-0.00285,0.0012,-0.00456,-0.0013
