mol_name,label,center,mmff_angle,dft_angle,delta
1-propanol,C-H_C,C,110.9423717795097,111.04203465486046,0.09966287535075935
1-propanol,C-H_C,C,110.15223598661298,111.16574205307326,1.0135060664602804
1-propanol,C-H_C,C,111.35109360507491,110.64873705178574,-0.7023565532891638
1-propanol,H-H_C,C,108.05119301516429,107.73122967711384,-0.3199633380504423
1-propanol,H-H_C,C,108.32667721084817,107.84796942607545,-0.47870778477272324
1-propanol,H-H_C,C,107.8997292885171,108.27228631010341,0.3725570215863172
1-propanol,C-C_C,C,112.36412813145633,113.28558145387956,0.9214533224232326
1-propanol,C-H_C,C,108.43499550887555,109.96149000413567,1.526494495260124
1-propanol,C-H_C,C,109.2138284282699,110.25322888773864,1.0394004594687374
1-propanol,C-H_C,C,109.58622296399867,108.21548737615565,-1.370735587843015
1-propanol,C-H_C,C,109.37202094044731,108.09313493941461,-1.2788860010327028
1-propanol,H-H_C,C,107.75774085029308,106.79701216258903,-0.960728687704048
1-propanol,C-O_C,C,109.92980839354071,108.27585567808903,-1.6539527154516804
1-propanol,C-H_C,C,110.01001586090187,109.71145952681195,-0.2985563340899233
1-propanol,C-H_C,C,110.98840905632606,109.63171618853399,-1.356692867792077
1-propanol,H-O_C,C,108.31539934031562,110.87951920387724,2.564119863561615
1-propanol,H-O_C,C,108.81165179148199,110.93967308081805,2.1280212893360613
1-propanol,H-H_C,C,108.72683001065337,107.39610101889959,-1.3307289917537872
1-propanol,C-H_O,O,107.0669796666604,107.97135472624176,0.9043750595813549
2-ethylpyrazine,C-H_C,C,110.03862756813736,110.0683148876301,0.029687319492737174
2-ethylpyrazine,C-H_C,C,111.35736582604704,111.78989454365957,0.4325287176125272
2-ethylpyrazine,C-H_C,C,111.35770596638646,111.7883202581961,0.43061429180963273
2-ethylpyrazine,H-H_C,C,107.77055409333946,107.54684005924213,-0.22371403409732693
2-ethylpyrazine,H-H_C,C,107.77289691895369,107.5483635823209,-0.2245333366327884
2-ethylpyrazine,H-H_C,C,108.40377928274691,107.9076224756475,-0.49615680709941046
2-ethylpyrazine,C-C_C,C,117.06863266757111,116.34376286771423,-0.7248697998568758
2-ethylpyrazine,C-H_C,C,108.33649688434558,109.94046806176694,1.6039711774213572
2-ethylpyrazine,C-H_C,C,108.33917052158458,109.93768507487302,1.5985145532884388
2-ethylpyrazine,C-H_C,C,107.83628954196793,107.44116575571155,-0.39512378625637723
2-ethylpyrazine,C-H_C,C,107.83602105777331,107.443233233508,-0.3927878242653122
2-ethylpyrazine,H-H_C,C,107.00603519116365,105.11117739370549,-1.8948577974581582
2-ethylpyrazine,C-C_C,C,123.99107018654597,123.9005408741925,-0.09052931235346762
